,sentiment,patriotism,economic,conspiratorial,religious,racist,ethic
weat_1,0.446,0.466,0.51,0.459,0.43,0.47,0.453
weat_2,0.434,0.391,0.466,0.469,0.402,0.462,0.424
weat_3,0.467,0.442,0.503,0.49,0.454,0.475,0.443
weat_4,0.502,0.494,0.539,0.504,0.497,0.502,0.452
