,sentiment,patriotism,economic,conspiratorial,religious,racist,ethic
weat_1,0.442,0.573,0.409,0.475,0.365,0.475,0.441
weat_2,0.45,0.404,0.498,0.498,0.501,0.493,0.471
weat_3,0.467,0.425,0.403,0.471,0.308,0.479,0.437
weat_4,0.466,0.449,0.393,0.472,0.324,0.478,0.433
