,sentiment,patriotism,economic,conspiratorial,religious,racist,ethic
weat_1,0.452,0.514,0.447,0.494,0.548,0.494,0.433
weat_2,0.465,0.434,0.476,0.496,0.497,0.486,0.451
weat_3,0.464,0.498,0.481,0.49,0.509,0.486,0.435
weat_4,0.458,0.5,0.479,0.491,0.49,0.484,0.434
