,sentiment,patriotism,economic,conspiratorial,religious,racist,ethic
weat_1,0.425,0.528,0.428,0.458,0.439,0.474,0.414
weat_2,0.471,0.508,0.482,0.496,0.455,0.488,0.468
weat_3,0.467,0.444,0.495,0.49,0.377,0.483,0.455
weat_4,0.448,0.403,0.493,0.483,0.42,0.488,0.457
