,sentiment,patriotism,economic,conspiratorial,religious,racist,ethic
weat_1,0.464,0.602,0.563,0.487,0.559,0.495,0.481
weat_2,0.476,0.429,0.481,0.473,0.419,0.489,0.5
weat_3,0.474,0.419,0.471,0.47,0.409,0.494,0.5
weat_4,0.472,0.406,0.48,0.47,0.424,0.499,0.495
