,sentiment,patriotism,economic,conspiratorial,religious,racist,ethic
weat_1,0.465,0.714,0.473,0.47,0.35,0.482,0.454
weat_2,0.463,0.472,0.522,0.505,0.375,0.48,0.479
weat_3,0.492,0.667,0.481,0.489,0.314,0.483,0.52
weat_4,0.494,0.647,0.51,0.487,0.372,0.483,0.499
