,sentiment,patriotism,economic,conspiratorial,religious,racist,ethic
weat_1,0.458,0.498,0.481,0.475,0.385,0.458,0.473
weat_2,0.46,0.535,0.55,0.491,0.362,0.456,0.475
weat_3,0.479,0.449,0.512,0.497,0.441,0.482,0.467
weat_4,0.491,0.379,0.462,0.502,0.521,0.515,0.479
