,sentiment,patriotism,economic,conspiratorial,religious,racist,ethic
weat_1,0.476,0.49,0.481,0.479,0.374,0.482,0.483
weat_2,0.454,0.428,0.447,0.477,0.404,0.451,0.446
weat_3,0.479,0.465,0.512,0.486,0.428,0.481,0.472
weat_4,0.498,0.534,0.571,0.493,0.482,0.522,0.479
