,avg,lower percentile,max,median,min,std,total_words,upper percentile
rt_1,26187.0,21594.0,59148.0,28569.0,196.0,10758.0,28517981.0,33208.0
rt_2,25667.0,22401.0,55608.0,26088.0,332.0,8363.0,27951312.0,30379.0
rt_3,29174.0,25928.0,93257.0,29929.0,32.0,8861.0,31770355.0,33807.0
rt_4,32938.0,26869.0,80192.0,32822.0,217.0,12723.0,35869217.0,39242.0
rt_5,27289.0,16594.0,97640.0,25722.0,87.0,15593.0,29744891.0,35752.0
