,avg,lower percentile,max,median,min,std,total_words,upper percentile
rt_1,25853.0,21901.0,59108.0,26967.0,196.0,9755.0,52920436.0,31762.0
rt_2,31001.0,26508.0,93449.0,31136.0,34.0,10508.0,65040953.0,35940.0
rt_3,27975.0,17416.0,97769.0,26699.0,87.0,15521.0,35920453.0,36400.0
rt_4,13594.0,5274.0,56809.0,11568.0,1032.0,12097.0,231091.0,16183.0
