,total_words,avg,std,max,min,lower percentile,median,upper percentile
bt_1,40994140.0,38492.0,21040.0,119442.0,144.0,23392.0,36034.0,52515.0
bt_2,46675731.0,43827.0,29899.0,119173.0,119.0,15921.0,35520.0,71211.0
bt_3,63781657.0,59833.0,34705.0,144800.0,211.0,31142.0,48936.0,92053.0
bt_4,76490835.0,71822.0,46551.0,652366.0,177.0,37094.0,57648.0,102610.0
